Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"NES/Famicom","Games","Owned","Golf","United States of America","Official","Nintendo","HAL Laboratory, Nintendo R&D2","Sports","Jan 4, 2022","Loose","5.90","24.54","560.00","5.90","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Guerrilla War","United States of America","Official","SNK","SNK","Action, First-person shooter","Jan 4, 2022","Loose","16.28","73.08","229.99","16.28","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Hogan's Alley","United States of America","Official","Nintendo","Nintendo R&D1, Intelligent Systems","First-person shooter","Mar 1, 2020","Boxed","12.99","44.66","648.08","37.17","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Home Alone","United States of America","Official","THQ","Bethesda Softworks","Action, Platformer","Mar 1, 2020","Loose","17.82","52.96","212.00","17.82","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Hoops","United States of America","Official","Jaleco Ltd.","Aicom","Sports","Mar 1, 2020","Loose","6.37","21.97","94.99","6.37","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Hydlide","United States of America","Official","FCI","T&E Soft","RPG","Jan 4, 2022","Loose","8.55","28.73","108.50","8.55","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Ice Hockey","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D4, Pax Softnica","Sports","Jan 20, 2022","Loose","7.38","26.87","262.47","7.38","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Ikari Warriors II: Victory Road","United States of America","Official","SNK","SNK","Action, First-person shooter","Jun 22, 2020","CIB","10.45","51.82","207.00","51.82","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Jackal","United States of America","Official","Konami","Konami","Action, Shoot 'em up","Jan 4, 2022","Loose","13.77","58.46","404.20","13.77","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Jaws","United States of America","Official","LJN","Westone Co., Ltd.","Action","Sep 21, 2020","Loose","13.50","73.18","546.65","13.50","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Jeopardy!","United States of America","Official","Nintendo","GameTek, Inc.","Trivia","Jan 20, 2022","Loose","5.85","13.92","142.19","5.85","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","John Elway's Quarterback","United States of America","Official","Tradewest, Inc.","Rare, Ltd.","Sports","Jan 4, 2022","Loose","6.07","16.34","65.19","6.07","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Joust","United States of America","Official","HAL America Inc.","Williams","Platformer","Jan 4, 2022","Loose","13.09","37.36","149.40","13.09","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Karate Champ","United States of America","Official","Data East Corporation","Data East Corporation","Sports","Mar 1, 2020","CIB","7.46","37.88","260.00","37.88","22.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Karnov","United States of America","Official","Data East Corporation","Data East Corporation","Platformer","Mar 1, 2020","CIB","11.44","53.25","213.00","53.25","11.50","?","?","?","","","0"
"NES/Famicom","Games","Owned","Kung Fu","United States of America","Official","Nintendo","Nintendo","Action","Jan 4, 2021","Loose+","12.25","67.87","271.00","21.90","13.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Kung Fu","United States of America","Official","Nintendo","Nintendo","Action","Oct 15, 2025","CIB","12.25","67.87","271.00","67.87","-1.0","1","1","1","","","0"
